date,close,open,high,low
2015년 8월,232.8,243.71,244.05,217.52
2015년 9월,236.71,231.86,241.3,226.03
2015년 10월,249.41,236.6,253.41,235.83
2015년 11월,244.24,249.86,253.22,238.84
2015년 12월,240.38,245.47,249.08,236.94
2016년 1월,232.1,239.3,239.35,222.92
2016년 2월,234.63,232.87,236.91,223.37
2016년 3월,245.86,238.45,247.58,237.21
2016년 4월,245.2,245.59,249.56,239.57
2016년 5월,243.63,244.86,244.9,237.65
2016년 6월,244.14,242.7,251.51,234.97
2016년 7월,251.48,244.96,253.37,240.73
2016년 8월,256.87,252.91,258.93,248.6
2016년 9월,257.49,254.95,262.1,250.53
2016년 10월,255.93,259.51,261.68,253.71
2016년 11월,254.26,255.35,257.03,246.51
2016년 12월,260.01,254.84,264.42,251.52
2017년 1월,268.09,259.42,271.21,258.64
2017년 2월,270.06,269.16,273.18,265.76
2017년 3월,280.64,272.14,284.4,268.36
2017년 4월,287.21,281.51,289.02,275.01
2017년 5월,304.67,288.6,309.32,288.39
2017년 6월,311.76,304.74,313.79,302.99
2017년 7월,314.6,312.5,322.16,309.62
2017년 8월,308.28,313.58,318.86,301.32
2017년 9월,316.27,308.85,320.4,302.41
2017년 10월,333.57,321.29,334.4,320.57
2017년 11월,325.25,335.67,339.59,324.82
2017년 12월,324.74,326.85,331.22,316.9
2018년 1월,333.38,325.73,339.27,324.22
2018년 2월,312.86,335.06,335.66,303.47
2018년 3월,314.61,310.11,324.72,304.46
2018년 4월,323.56,315.56,323.58,308.33
2018년 5월,310.92,323.56,323.97,308.07
2018년 6월,299.66,310.13,319.19,295.97
2018년 7월,297.45,299.12,300.24,289.9
2018년 8월,300.07,298.32,300.07,285.42
